id,name,selling_price,category,description,image_url,is_active,prep_time,partner_slug
,OTC Pizza,385,Pizza,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/OTC%20Pizza.jpg&w=300&h=300&fit=cover&a=c,,15,
,Margherita Pizza,335,Pizza,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Margherita%20Pizza.jpg&w=300&h=300&fit=cover&a=c,,15,
,Red Sauce Pasta,365,Pasta,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Red%20Sauce%20Pasta.jpg&w=300&h=300&fit=cover&a=c,,15,
,Mix Sauce Pasta,415,Pasta,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Mix%20Sauce%20Pasta.jpg&w=300&h=300&fit=cover&a=c,,15,
,White Sauce Pasta,405,Pasta,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/White%20Sauce%20Pasta.jpg&w=300&h=300&fit=cover&a=c,,15,
,Dragon Sizzler,515,Sizzlers,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Dragon%20Sizzler.jpg&w=300&h=300&fit=cover&a=c,,15,
,Desi Sizzler,515,Sizzlers,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Desi%20Sizzler.jpg&w=300&h=300&fit=cover&a=c,,15,
,Green Salad,200,Salad,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Green%20Salad.jpg&w=300&h=300&fit=cover&a=c,,15,
,Onion Salad,180,Salad,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Onion%20Salad.jpg&w=300&h=300&fit=cover&a=c,,15,
,Roasted Papad,65,Papad,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Roasted%20Papad.jpg&w=300&h=300&fit=cover&a=c,,15,
,Masala Papad,110,Papad,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Masala%20Papad.jpg&w=300&h=300&fit=cover&a=c,,15,
,Plain Curd,175,Raita,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Plain%20Curd.jpg&w=300&h=300&fit=cover&a=c,,15,
,Veg. Raita,245,Raita,,https://images.weserv.nl/?url=mancumenuimage.greenrecords22.workers.dev/Vegetable%20Raita.jpg&w=300&h=300&fit=cover&a=c,,15,
